,Nome,CGC,Endereco
118,"PLATAFORMA EMPRESAS SANTO ANDRE, SP",7634-1,"avenida industrial num 600 - jardim 9080500 - santo andre, sp ag. numero: 7634-1"
119,AG EMPRESARIAL BAIXADA SANTISTA,4277-3,"avenida ana costa num 433 - gonzaga 110600 - santos, sp ag. numero: 4277-3"
120,"AMADOR BUENO, SP",2963-7,"avenida conselheiro nebias num 701 - boqueirao 110453 - santos, sp ag. numero: 2963-7"
121,"DIGITAL BAIXADA SANTISTA, SP",2611-5,"avenida ana costa num 433 - gonzaga 110603 - santos, sp ag. numero: 2611-5"
122,"JUSTICA DO TRABALHO SANTOS, SP",2875-4,"rua braz cubas num 158 - vila nova 11013915 - santos, sp ag. numero: 2875-4"
123,"JUSTICA FEDERAL SANTOS, SP",2206-3,"praca barao do rio branco num 30 - centro 1101040 - santos, sp ag. numero: 2206-3"
124,"MARECHAL, SP",4360-5,"avenida ana costa num 194 - vila mathias 110600 - santos, sp ag. numero: 4360-5"
125,"PINHEIRO MACHADO, SP",3580-7,"avenida senador pinheiro machado num 824 - marape 110752 - santos, sp ag. numero: 3580-7"
126,"PLAT DIG LITORAL PAULISTA, SP",3471-1,"avenida ana costa num 222 - gonzaga 110602 - santos, sp ag. numero: 3471-1"
127,"PLATAFORMA EMPRESAS SANTOS, SP",6402-5,"avenida sao francisco num 164 - centro 11013200 - santos, sp ag. numero: 6402-5"
128,"AG EMPRESARIAL ABC, SP",4276-5,"rua jose versolato num 101/111 - centro 9750730 - sao bernardo do campo, sp ag. numero: 4276-5"
129,"CAMINHO DO MAR, SP",1878-3,"avenida caminho do mar num 2439 - vila mussolini 96090 - sao bernardo do campo, sp ag. numero: 1878-3"
130,"CAPITAO CASA, SP",0679-3,"avenida capitao casa num 1299 - dos casa 98120 - sao bernardo do campo, sp ag. numero: 0679-3"
131,"DIGITAL SAO BERNARDO, SP",2678-6,"avenida jose versolato num 111 - centro 9710190 - sao bernardo do campo, sp ag. numero: 2678-6"
132,"FERRAZOPOLIS, SP",4714-7,"rua marechal deodoro num 1605 - centro 9710190 - sao bernardo do campo, sp ag. numero: 4714-7"
133,"JF SAO BERNARDO DO CAMPO, SP",4027-4,"avenida senador vergueiro num 3595 - rudge ramos 96010 - sao bernardo do campo, sp ag. numero: 4027-4"
134,"METROPOLE, SP",4362-1,"avenida jose versolato num 111 - centro 9750730 - sao bernardo do campo, sp ag. numero: 4362-1"
135,"PLATAFORMA EMPRESAS SAO BERNARDO,SP",7682-1,"rua marechal deodoro num 1605 - centro 9710190 - sao bernardo do campo, sp ag. numero: 7682-1"
136,"PLATAFORMA EMPRESAS SAO CAETANO, SP",7062-9,"rua rio grande do sul num 436 - centro 951020 - sao caetano do sul, sp ag. numero: 7062-9"
137,"PROSPERIDADE, SP",2159-8,"avenida goias num 1780 - barcelona 955050 - sao caetano do sul, sp ag. numero: 2159-8"
138,"JUSTICA DO TRABALHO SAO CARLOS, SP",2944-0,"rua jose bonifacio num 888 - centro 13560610 - sao carlos, sp ag. numero: 2944-0"
139,"JUSTICA FEDERAL SAO CARLOS, SP",4102-5,"avenida teixeira de barros num 741 - vila prado 1357433 - sao carlos, sp ag. numero: 4102-5"
140,"AGRO SAO JOAO DA BOA VISTA, SP",7985-5,"praca coronel joaquim jose num 156 - centro 13870120 - sao joao da boa vista, sp ag. numero: 7985-5"
141,"JF SAO JOAO DA BOA VISTA, SP",2765-0,"rua getulio vargas num 21 - centro 13870100 - sao joao da boa vista, sp ag. numero: 2765-0"
142,AG EMPRESARIAL NOROESTE PAULISTA,4285-4,"rua bernardino de campos num 3960 - centro 15015300 - sao jose do rio preto, sp ag. numero: 4285-4"
143,"AGRO SAO JOSE DO RIO PRETO, SP",7986-3,"rua marechal deodoro da fonseca num 2739 - centro 1501070 - sao jose do rio preto, sp ag. numero: 7986-3"
144,"AV DANILO GALEAZZI, SP",4890-9,"avenida danilo galeazzi num 1493 - jardim santa rosa i 15050690 - sao jose do rio preto, sp ag. numero: 4890-9"
145,"DIGITAL RIO PRETO, SP",7191-9,"rua marechal deodoro da fonseca num 2739 - centro 1501070 - sao jose do rio preto, sp ag. numero: 7191-9"
146,"JF SAO JOSE DO RIO PRETO, SP",3970-5,"rua dos radialistas riopretenses num 1000 - chacara municipal 1509070 - sao jose do rio preto, sp ag. numero: 3970-5"
147,"JUSTICA TRABALHO S J RIO PRETO, SP",2760-0,"avenida jose munia num 5500 - chacara municipal 15090185 - sao jose do rio preto, sp ag. numero: 2760-0"
148,"PLATAFORMA EMPRESAS SJ RIO PRETO,SP",7360-1,"rua marechal deodoro da fonseca num 2739 - centro 1501070 - sao jose do rio preto, sp ag. numero: 7360-1"
149,AG EMPRESARIAL VALE DO PARAIBA,4293-5,"avenida cassiano ricardo num 521 - parque residencial aquarius 12246870 - sao jose dos campos, sp ag. numero: 4293-5"
150,"CTA SAO JOSE DOS CAMPOS, SP",1388-9,"praca marechal-do-ar eduardo gomes num 50 - campus do cta 12228615 - sao jose dos campos, sp ag. numero: 1388-9"
151,"DIGITAL VALE DO PARAIBA, SP",2614-0,"avenida doutor nelson d'avila num 40 - jardim sao dimas 1224531 - sao jose dos campos, sp ag. numero: 2614-0"
152,"JF SAO JOSE DOS CAMPOS, SP",2945-9,"rua doutor tertuliano delphim junior num 522 - jardim aquarius 122461 - sao jose dos campos, sp ag. numero: 2945-9"
153,"JUDICIARIO SAO JOSE DOS CAMPOS, SP",2730-8,"rua juiz david barrilli num 85 - pq res aquarius 12246200 - sao jose dos campos, sp ag. numero: 2730-8"
154,"PLATAFORMA EMPRESAS SJ CAMPOS, SP",7357-1,"avenida doutor nelson d'avila num 40 - jardim sao dimas 1224531 - sao jose dos campos, sp ag. numero: 7357-1"
155,AG EMPRESARIAL IPIRANGA,3103-8,"avenida doutor gentil de moura num 78 - ipiranga 42780 - sao paulo, sp ag. numero: 3103-8"
156,AG EMPRESARIAL PAULISTA,3154-2,"av paulista 750 num and 13 - bela vista 1310908 - sao paulo, sp ag. numero: 3154-2"
157,AG EMPRESARIAL PENHA,4278-1,"avenida amador bueno da veiga num 1151 - penha de franca 3635970 - sao paulo, sp ag. numero: 4278-1"
158,AG EMPRESARIAL SAO PAULO CENTRO SUL,4284-6,"avenida santo amaro num 7237 - granja julieta 4701200 - sao paulo, sp ag. numero: 4284-6"
159,AG EMPRESARIAL SAO PAULO LEST/NORTE,4283-8,"rua voluntarios da patria num 1512 - santana 2010300 - sao paulo, sp ag. numero: 4283-8"
160,AG EMPRESARIAL SAO PAULO OESTE,4280-3,"avenida pedroso de morais num 644 - pinheiros 54201 - sao paulo, sp ag. numero: 4280-3"
161,AG EMPRESARIAL SE,4286-2,"praca da republica num 309 - republica 10451 - sao paulo, sp ag. numero: 4286-2"
162,"ALVARES PENTEADO, SP",3039-2,"rua libero badaro num 509 - centro 10090 - sao paulo, sp ag. numero: 3039-2"
163,"AROUCHE, SP",1230-0,"praca da republica num 309 - republica 10451 - sao paulo, sp ag. numero: 1230-0"
164,"AV CELSO GARCIA, SP",4677-9,"avenida celso garcia num 151/157 - bras 30150 - sao paulo, sp ag. numero: 4677-9"
165,"AV JUSCELINO KUBITSCHEK, SP",3243-3,"avenida presidente juscelino kubitschek num 53 - vila nova conceicao 454310 - sao paulo, sp ag. numero: 3243-3"
166,"AVENIDA RANGEL PESTANA, SP",3775-3,"rua silva teles num 60 - pari 30260 - sao paulo, sp ag. numero: 3775-3"
167,"BIXIGA, SP",3149-6,"rua rui barbosa num 161/163 - bela vista 132610 - sao paulo, sp ag. numero: 3149-6"
168,"CEAGESP, SP",4740-6,"avenida doutor gastao vidigal num 1946 - vila leopoldina 5316900 - sao paulo, sp ag. numero: 4740-6"
169,"CET MARQUES DE SAO VICENTE, SP",0468-5,"avenida marques de sao vicente num 2154 - varzea da barra funda 11392 - sao paulo, sp ag. numero: 0468-5"
170,"CIDADE DUTRA, SP",4530-6,"avenida senador teotonio vilela num 852 - cidade dutra 48010 - sao paulo, sp ag. numero: 4530-6"
171,"CIDADE SAO PAULO, SP",3009-0,"rua pamplona num 518 - jardim paulista 14050 - sao paulo, sp ag. numero: 3009-0"
172,"CLODOMIRO AMAZONAS, SP",4636-1,"rua estados unidos num 1898 - jardim america 14272 - sao paulo, sp ag. numero: 4636-1"
173,CORPORATIVO CONSTRUCAO CIVIL,4992-1,"avenida av paulista 750 num 6 and - bela vista 1310908 - sao paulo, sp ag. numero: 4992-1"
174,CORPORATIVO INFRAESTRUTURA,3080-5,"avenida paulista num 750 - bela vista 1310100 - sao paulo, sp ag. numero: 3080-5"
175,CORPORATIVO SAO PAULO,3337-5,"avenida paulista num 750 - bela vista 1310100 - sao paulo, sp ag. numero: 3337-5"
176,"DIGITAL ALTO TIETE, SP",2669-7,"avenida amador bueno da veiga num 1151 - penha de franca 36350 - sao paulo, sp ag. numero: 2669-7"
177,"DIGITAL ANALIA FRANCO, SP",2676-0,"rua fernando falcao num 59/75 - vila claudia 31801 - sao paulo, sp ag. numero: 2676-0"
178,"DIGITAL ANHEMBI, SP",2673-5,"rua voluntarios da patria num 1512 - santana 2010300 - sao paulo, sp ag. numero: 2673-5"
179,"DIGITAL AV AMADOR BUENO, SP",2670-0,"avenida amador bueno da veiga num 1151 - penha de franca 36350 - sao paulo, sp ag. numero: 2670-0"
180,"DIGITAL AVENIDA PAULISTA, SP",3786-9,"avenida paulista num 750 - bela vista 1310908 - sao paulo, sp ag. numero: 3786-9"
181,"DIGITAL FARIA LIMA, SP",2672-7,"avenida voluntarios da patria num 1511 - santana 53140 - sao paulo, sp ag. numero: 2672-7"
182,"DIGITAL GRANJA JULIETA, SP",2677-8,"avenida santo amaro num 7237 - santo amaro 4701200 - sao paulo, sp ag. numero: 2677-8"
183,"DIGITAL IPIRANGA, SP",2826-6,"rua cincinato braga num 301/3029 - bela vista 133311 - sao paulo, sp ag. numero: 2826-6"
184,"DIGITAL ITAIM BIBI, SP",2667-0,"rua cincinato braga num 301/309 - bela vista 133311 - sao paulo, sp ag. numero: 2667-0"
185,"DIGITAL MUSEU CATAVENTO, SP",2666-2,"largo da concordia num 211 - bras 301210 - sao paulo, sp ag. numero: 2666-2"
186,"DIGITAL PRACA DA SE, SP",2665-4,"praca da se num 111 - se 10010 - sao paulo, sp ag. numero: 2665-4"
187,"EXECUCOES FISCAIS, SP",2527-5,"rua joao guimaraes rosa num 215 - centro 130330 - sao paulo, sp ag. numero: 2527-5"
188,"HEBRAICA, SP",2177-6,"avenida brigadeiro faria lima num 1644 - jardim america 14511 - sao paulo, sp ag. numero: 2177-6"
